experiment_dir,quant,method,data,alpha,lr,ep,retain,extraction_strength,forget_knowmem_ROUGE,forget_verbmem_ROUGE,privleak,retain_knowmem_ROUGE
GradAscent_Books_alpha-0_lr-1e-5_ep-10,fp,GradAscent,Books,0,1e-5,10,,0.007936507936507908,0.0,0.0,-19.008875736130033,0.0
GradAscent_Books_alpha-0_lr-1e-5_ep-10,8bit,GradAscent,Books,0,1e-5,10,,0.007936507936507908,0.0,0.0,-18.971893487616146,0.0
GradAscent_Books_alpha-0_lr-1e-5_ep-10,4bit,GradAscent,Books,0,1e-5,10,,0.007936507936507908,0.0,0.0,-19.147559168057057,0.0
GradAscent_Books_alpha-0_lr-1e-5_ep-5,fp,GradAscent,Books,0,1e-5,5,,0.007936507936507908,0.0,0.0,-24.241863900842848,0.0
GradAscent_Books_alpha-0_lr-1e-5_ep-5,8bit,GradAscent,Books,0,1e-5,5,,0.007936507936507908,0.0,0.0,-24.186390528072046,0.0
GradAscent_Books_alpha-0_lr-1e-5_ep-5,4bit,GradAscent,Books,0,1e-5,5,,0.007936507936507908,0.0,0.0,-23.09541419691285,0.0
GradAscent_News_alpha-0_lr-1e-5_ep-10,fp,GradAscent,News,0,1e-5,10,,0.007936507936507908,0.0,0.0,74.64315699524707,0.0
GradAscent_News_alpha-0_lr-1e-5_ep-10,8bit,GradAscent,News,0,1e-5,10,,0.007936507936507908,0.0,0.0,73.59361879227674,0.0
GradAscent_News_alpha-0_lr-1e-5_ep-10,4bit,GradAscent,News,0,1e-5,10,,0.007936507936507908,0.0,0.0,64.0008396171283,0.0
GradAscent_News_alpha-0_lr-1e-5_ep-5,fp,GradAscent,News,0,1e-5,5,,0.007936507936507908,0.0,0.0,51.97313181108878,0.0
GradAscent_News_alpha-0_lr-1e-5_ep-5,8bit,GradAscent,News,0,1e-5,5,,0.007936507936507908,0.0,0.0,52.53988244069272,0.0
GradAscent_News_alpha-0_lr-1e-5_ep-5,4bit,GradAscent,News,0,1e-5,5,,0.007936507936507908,0.0,0.0,53.27455918277193,0.0
GradDiff_Books_alpha-0.1_lr-1e-5_ep-10,fp,GradDiff,Books,0.1,1e-5,10,,0.007936507936507908,0.0,0.0,-24.482248516183006,0.0
GradDiff_Books_alpha-0.1_lr-1e-5_ep-10,8bit,GradDiff,Books,0.1,1e-5,10,,0.007936507936507908,0.0,0.0,-24.2603550250998,0.0
GradDiff_Books_alpha-0.1_lr-1e-5_ep-10,4bit,GradDiff,Books,0.1,1e-5,10,,0.007936507936507908,0.0,0.0,-22.725591711774094,0.0
GradDiff_Books_alpha-0.1_lr-1e-5_ep-5,fp,GradDiff,Books,0.1,1e-5,5,,0.007936507936507908,0.0,0.0,-24.2603550250998,0.0
GradDiff_Books_alpha-0.1_lr-1e-5_ep-5,8bit,GradDiff,Books,0.1,1e-5,5,,0.007936507936507908,0.0,0.0,-24.445266267669137,0.0
GradDiff_Books_alpha-0.1_lr-1e-5_ep-5,4bit,GradDiff,Books,0.1,1e-5,5,,0.007936507936507908,0.0,0.0,-22.836538457315736,0.0
